Coordinates,Name,,,,,
41°56′18″N 087°38′03″W,Montrose/Belmont Harbor,,,,,
41°37′55″N 087°04′28″W,"Porter, IN",,,,,
41°50′54″N 087°36′44″W,Burnham Park,,,,,
41°40′34″N 087°31′40″W,Hegewisch,,,,,
41°37′28″N 087°24′43″W,Gary Municipal Airport,,,,,
41°31′40″N 087°30′53″W,"Munster, IN",,,,,
41.784142°N 87.580163°W,Jackson Park,,,,,
41°31′59″N 087°10′01″W,"South Haven, IN",,,,,
41°33′20″N 087°21′29″W,"Gary, IN",,,,,
41°32′36.0″N 087°38′12.9″W,"Homewood, IL",,,,,
41°40′17″N 087°46′23″W,"Palos Heights, IL",,,,,
41°36′21″N 087°51′29″W,"Orland Park, IL",,,,,
41°43′42″N 087°58′36″W,"Willowbrook/Darien, IL",,,,,
41°47′56″N 088°09′07″W,"Naperville, IL",,,,,
41°54′49″N 088°00′59″W,"Addison, IL",,,,,
42°03′49″N 087°59′52″W,"Arlington Heights, IL",,,,,
42°09′26″N 088°03′30″W,"Palatine, IL",,,,,
42°13′32″N 087°57′26″W,"Vernon Hills, IL",,,,,
42°13′31.44″N 087°56′53.52″W,"Vernon Hills, IL",,,,,
42°07′36″N 087°46′56″W,"Northfield/Skokie Lagoons/Glencoe, IL",,,,,
42°13′23″N 087°49′22″W,"Fort Sheridan, IL",,,,,